

gen best mean std
0 57.752976 8.478647 19.218329
1 57.752976 12.99879 18.341338
2 75.752976 27.823426 25.433803
3 75.752976 45.314008 22.529797
4 75.752976 48.021458 22.794312
5 75.752976 52.06784 20.226196
6 75.752976 51.491841 20.405166
7 75.752976 56.865162 15.435137
8 75.752976 59.105728 11.667122
9 75.752976 53.710256 19.497708
