

gen best mean std
0 3.752976 -4.496787 2.690001
1 3.752976 -3.069141 3.821307
2 21.790514 2.750964 8.989499
3 57.216175 16.1524 20.846902
4 57.225448 25.148321 21.922868
5 75.16227 34.971945 24.977203
6 75.16227 48.29844 21.307505
7 75.16227 50.847548 18.469202
8 75.16227 56.75623 12.133434
9 75.16227 59.457821 11.241048
