

gen best mean std
0 21.752976 -2.980639 6.973817
1 30.752976 5.652969 13.096742
2 57.266659 19.603087 16.17337
3 57.266659 24.597156 15.585159
4 57.266659 25.728563 15.549609
5 57.266659 29.694118 20.289507
6 57.266659 34.149432 17.854596
7 57.601837 37.655136 19.51893
8 66.319827 45.250701 20.489852
9 66.319827 46.182119 19.224294
