

gen best mean std
0 3.130703 -4.549761 2.569723
1 21.752976 -0.416539 8.777032
2 57.213103 6.817441 15.063874
3 66.234809 26.913632 26.1048
4 66.234809 47.432769 18.921029
5 66.234809 45.388105 19.488485
6 75.051965 51.16547 18.893932
7 75.051965 54.161896 15.51495
8 75.051965 53.688247 15.026357
doomsday
9 75.051965 46.031655 29.555901
