

gen best mean std
0 57.16227 0.336547 14.567618
1 57.16227 8.13561 18.845003
2 57.273152 19.337646 20.525885
3 94.023266 34.726955 24.340757
4 94.023266 39.652605 26.276965
5 94.023266 47.574566 25.809745
6 94.023266 61.02522 18.649397
7 94.023266 58.3603 21.162275
8 94.023266 52.03368 23.741913
9 94.023266 54.745568 22.993067
