

gen best mean std
0 57.16227 1.244788 14.679894
1 57.16227 4.892031 15.073256
2 57.16227 9.843412 18.330663
3 57.752976 34.934244 22.224753
4 57.752976 47.921405 16.248517
5 57.752976 48.789604 16.275045
6 57.752976 51.491111 12.649627
7 57.752976 51.968961 12.695078
8 92.116678 55.46016 17.53336
9 92.116678 52.70832 20.890545
