

gen best mean std
0 30.102846 -0.908593 8.704136
1 66.219256 10.294738 21.45276
2 66.219256 16.066155 23.928805
3 66.231679 24.596872 25.843517
4 66.231679 33.995505 26.465148
doomsday
5 66.231679 40.232904 26.917626
6 66.231679 47.786702 21.420463
7 66.231679 51.894017 18.325727
8 66.231679 55.415403 14.117083
9 66.231679 59.45389 3.910065
