

gen best mean std
0 21.774253 -2.681553 7.0541
1 21.774253 -1.219267 7.767897
doomsday
2 48.286267 4.546033 15.445307
3 48.286267 7.18883 14.511785
4 48.286267 12.546908 15.747198
5 57.16227 17.947296 17.718399
6 57.601837 20.101431 20.570693
7 57.732142 34.022459 24.983818
8 57.752976 50.764662 15.96322
9 57.752976 49.429293 17.205848
