

gen best mean std
0 39.790514 -1.845545 10.056541
1 39.790514 7.187047 15.235039
2 39.790514 13.858412 13.633979
3 39.790514 17.617139 13.897701
4 39.790514 20.333802 13.213768
5 39.790514 23.109753 11.131492
6 57.16227 27.09181 14.788664
7 57.16227 28.852918 16.291135
8 57.231679 36.784801 19.700007
9 57.231679 36.746609 20.8763
